run_id,date,comparison_group,ap_channel,ap_width_mhz,zigbee_exposure,zigbee_channel,zigbee_center_mhz,load_level,run_type,replicate_id,baseline_ref,raw_run_id,status,exit_code,ap_channel_recorded,ap_width_recorded_mhz,ap_sideband_recorded,ap_rf_source,expected_events,state_rows,missing_events,extra_events,drop_rate,extra_event_rate,repeated_event_id_rows,p95_latency_ms,mad_latency_ms,mean_latency_ms,p99_latency_ms,max_latency_ms,iperf_mean_mbps
R678,03/05/2026,W3_zigbee_ap_ch1_20mhz,1,20,control / non-overlap with Zigbee ch20,20,2450,baseline,baseline,rep1,,W3_zigbee_auto_baseline_ch1,complete,0,1,20,none,manual_ap_ui,100,100,0,0,0.0,0.0,0,11.27895039997529,1.474687999987509,2.7938918399979595,14.03992832001535,20.882047999999486,
R679,03/05/2026,W3_zigbee_ap_ch1_20mhz,1,20,control / non-overlap with Zigbee ch20,20,2450,heavy,load,rep1,R678,W3_zigbee_auto_heavy_ch1,complete,0,1,20,none,manual_ap_ui,100,102,0,2,0.0,0.02,2,10.573939200051239,1.5439360000018496,2.3195557647359593,13.636830720035352,16.083328000037,50.00135869565217
R680,03/05/2026,W3_zigbee_ap_ch1_20mhz,1,20,control / non-overlap with Zigbee ch20,20,2450,baseline,baseline,rep2,,W3_zigbee_auto_baseline_ch1,complete,0,1,20,none,manual_ap_ui,100,100,0,0,0.0,0.0,0,11.936204799992264,1.7291519999853335,2.1958886399859328,12.556917759981593,13.3288959999918,
R681,03/05/2026,W3_zigbee_ap_ch1_20mhz,1,20,control / non-overlap with Zigbee ch20,20,2450,heavy,load,rep2,R680,W3_zigbee_auto_heavy_ch1,complete,0,1,20,none,manual_ap_ui,100,100,0,0,0.0,0.0,0,10.351590399982523,1.2803840000124183,2.22763263995701,12.889845759947205,13.319679999956861,49.988586956521736
R682,03/05/2026,W3_zigbee_ap_ch1_20mhz,1,20,control / non-overlap with Zigbee ch20,20,2450,baseline,baseline,rep3,,W3_zigbee_auto_baseline_ch1,complete,0,1,20,none,manual_ap_ui,100,100,0,0,0.0,0.0,0,11.208064000032026,1.6961280000105035,2.634818560028216,13.434503680003115,14.626432000019122,
R683,03/05/2026,W3_zigbee_ap_ch1_20mhz,1,20,control / non-overlap with Zigbee ch20,20,2450,heavy,load,rep3,R682,W3_zigbee_auto_heavy_ch1,complete,0,1,20,none,manual_ap_ui,100,100,0,0,0.0,0.0,0,9.776640000051701,1.8449919999984559,1.7578828800539485,11.74458368005406,12.537344000069425,49.99619565217391
R684,03/05/2026,W3_zigbee_ap_ch1_20mhz,1,20,control / non-overlap with Zigbee ch20,20,2450,baseline,baseline,rep4,,W3_zigbee_auto_baseline_ch1,complete,0,1,20,none,manual_ap_ui,100,100,0,0,0.0,0.0,0,9.826137599995127,1.9409919999889098,1.3222758400114254,11.230617599986148,12.107520000019576,
R685,03/05/2026,W3_zigbee_ap_ch1_20mhz,1,20,control / non-overlap with Zigbee ch20,20,2450,heavy,load,rep4,R684,W3_zigbee_auto_heavy_ch1,complete,0,1,20,none,manual_ap_ui,100,100,0,0,0.0,0.0,0,11.602265599969542,1.5829760000342503,2.362063359974418,12.460282879949082,12.662527999957092,49.97445652173913
R686,03/05/2026,W3_zigbee_ap_ch1_20mhz,1,20,control / non-overlap with Zigbee ch20,20,2450,baseline,baseline,rep5,,W3_zigbee_auto_baseline_ch1,complete,0,1,20,none,manual_ap_ui,100,100,0,0,0.0,0.0,0,9.565529600033187,1.8384640000003856,1.793390080012614,10.578257920009786,11.156607999990229,
R687,03/05/2026,W3_zigbee_ap_ch1_20mhz,1,20,control / non-overlap with Zigbee ch20,20,2450,heavy,load,rep5,R686,W3_zigbee_auto_heavy_ch1,complete,0,1,20,none,manual_ap_ui,100,100,0,0,0.0,0.0,0,9.590476800015312,2.1800959999964107,1.618757119998336,11.8049024000112,12.334591999999247,49.97744565217391
R688,03/05/2026,W3_zigbee_ap_ch9_20mhz,9,20,overlap with Zigbee ch20,20,2450,baseline,baseline,rep1,,W3_zigbee_auto_baseline_ch9,complete,0,9,20,none,manual_ap_ui,100,100,0,0,0.0,0.0,0,10.303155200011679,1.8810880000237375,1.9419647999992593,10.808194559972035,10.960512000019662,
R689,03/05/2026,W3_zigbee_ap_ch9_20mhz,9,20,overlap with Zigbee ch20,20,2450,heavy,load,rep1,R688,W3_zigbee_auto_heavy_ch9,complete,0,9,20,none,manual_ap_ui,100,100,0,0,0.0,0.0,1,11.265331200056243,1.979903999977978,2.4536499200511024,13.216878080063035,13.493888000026345,49.99375
R690,03/05/2026,W3_zigbee_ap_ch9_20mhz,9,20,overlap with Zigbee ch20,20,2450,baseline,baseline,rep2,,W3_zigbee_auto_baseline_ch9,complete,0,9,20,none,manual_ap_ui,100,100,0,0,0.0,0.0,0,10.479590399973675,1.8200319999887142,1.597977599980659,12.895191039996572,12.954495999962091,
R691,03/05/2026,W3_zigbee_ap_ch9_20mhz,9,20,overlap with Zigbee ch20,20,2450,heavy,load,rep2,R690,W3_zigbee_auto_heavy_ch9,complete,0,9,20,none,manual_ap_ui,100,100,0,0,0.0,0.0,0,10.308902399984072,1.8120960000087507,1.9420313599577639,13.109276159930161,13.479551999946125,49.9883152173913
R692,03/05/2026,W3_zigbee_ap_ch9_20mhz,9,20,overlap with Zigbee ch20,20,2450,baseline,baseline,rep3,,W3_zigbee_auto_baseline_ch9,complete,0,9,20,none,manual_ap_ui,100,100,0,0,0.0,0.0,0,9.67105280003161,2.4500479999987874,1.721692160028033,11.906606080033235,11.961856000008993,
R693,03/05/2026,W3_zigbee_ap_ch9_20mhz,9,20,overlap with Zigbee ch20,20,2450,heavy,load,rep3,R692,W3_zigbee_auto_heavy_ch9,complete,0,9,20,none,manual_ap_ui,100,100,0,0,0.0,0.0,1,10.551590399988346,2.618367999995826,1.7993087999679847,11.034004479969742,12.366591999947559,49.962228260869566
R694,03/05/2026,W3_zigbee_ap_ch9_20mhz,9,20,overlap with Zigbee ch20,20,2450,baseline,baseline,rep4,,W3_zigbee_auto_baseline_ch9,complete,0,9,20,none,manual_ap_ui,100,100,0,0,0.0,0.0,0,8.479692800040358,2.636543999949936,1.288727040028316,10.342108160005308,11.884544000029564,
R695,03/05/2026,W3_zigbee_ap_ch9_20mhz,9,20,overlap with Zigbee ch20,20,2450,heavy,load,rep4,R694,W3_zigbee_auto_heavy_ch9,complete,0,9,20,none,manual_ap_ui,100,104,0,4,0.0,0.04,4,10.646297599945683,2.0573440000007395,2.189720615339936,12.476459519980125,13.120511999935843,50.004347826086956
R696,03/05/2026,W3_zigbee_ap_ch9_20mhz,9,20,overlap with Zigbee ch20,20,2450,baseline,baseline,rep5,,W3_zigbee_auto_baseline_ch9,complete,0,9,20,none,manual_ap_ui,100,100,0,0,0.0,0.0,0,10.478720000010798,2.3509759999869857,1.711367680009571,11.150054399992808,11.743103999993764,
R697,03/05/2026,W3_zigbee_ap_ch9_20mhz,9,20,overlap with Zigbee ch20,20,2450,heavy,load,rep5,R696,W3_zigbee_auto_heavy_ch9,complete,0,9,20,none,manual_ap_ui,100,100,0,0,0.0,0.0,0,10.210687999957008,2.6406399999686982,1.4267852799780667,11.9684198399965,12.70694399997592,49.99211956521739
