pi_rx_time_ns,topic,type,node,protocol,exp,seq,trigger,t_local_us,wifi_rssi,rtt_us,old_state,new_state,ha_time,event_id,ha_context_id,mqtt_retain,pipeline_version,pi_time_s,ha_time_s,raw_delay_ms,norm_delay_ms
1774879671372464000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v2,0,state_changed,0,,,on,off,2026-03-30T17:07:51.389079+03:00,01KMZH510N6E36EVT33B18EH8H,01KMZH510N6E36EVT33B18EH8H,0,0.1.1,1774879671.3724642,1774879671.389079,-16.614913940429688,8.201003074645996
1774879685477968000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v2,0,state_changed,0,,,off,on,2026-03-30T17:08:05.499606+03:00,01KMZH5ESV0CZQNWEFH6T2M106,01KMZH5ESV0CZQNWEFH6T2M106,0,0.1.1,1774879685.477968,1774879685.499606,-21.637916564941406,3.1780004501342773
1774879690587730000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v2,0,state_changed,0,,,on,off,2026-03-30T17:08:10.614088+03:00,01KMZH5KSPYXEE07TCFJTJC5BE,01KMZH5KSPYXEE07TCFJTJC5BE,0,0.1.1,1774879690.58773,1774879690.614088,-26.35812759399414,-1.542210578918457
1774879697208639000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v2,0,state_changed,0,,,off,on,2026-03-30T17:08:17.238230+03:00,01KMZH5T8PXWEZ6GGND0Y09W0Q,01KMZH5T8PXWEZ6GGND0Y09W0Q,0,0.1.1,1774879697.208639,1774879697.23823,-29.591083526611328,-4.7751665115356445
1774879701555692000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v2,0,state_changed,0,,,on,off,2026-03-30T17:08:21.579268+03:00,01KMZH5YGE83HMMK4PP114F5TW,01KMZH5YGE83HMMK4PP114F5TW,0,0.1.1,1774879701.555692,1774879701.579268,-23.576021194458008,1.2398958206176758
1774879706623532000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v2,0,state_changed,0,,,off,on,2026-03-30T17:08:26.645081+03:00,01KMZH63ERCP9R0A3620KDABHM,01KMZH63ERCP9R0A3620KDABHM,0,0.1.1,1774879706.623532,1774879706.645081,-21.548986434936523,3.26693058013916
1774879710983634000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v2,0,state_changed,0,,,on,off,2026-03-30T17:08:30.965448+03:00,01KMZH67NNB59SG1M13T26JMBH,01KMZH67NNB59SG1M13T26JMBH,0,0.1.1,1774879710.983634,1774879710.965448,18.186092376708984,43.00200939178467
1774879714820472000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v2,0,state_changed,0,,,off,on,2026-03-30T17:08:34.840755+03:00,01KMZH6BERY3AG9AXVSWH4MZ8S,01KMZH6BERY3AG9AXVSWH4MZ8S,0,0.1.1,1774879714.820472,1774879714.840755,-20.282983779907227,4.532933235168457
1774879718913190000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v2,0,state_changed,0,,,on,off,2026-03-30T17:08:38.946896+03:00,01KMZH6FF5QDHDBMJM3K4PAYTG,01KMZH6FF5QDHDBMJM3K4PAYTG,0,0.1.1,1774879718.91319,1774879718.946896,-33.7061882019043,-8.890271186828613
1774879723241437000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v2,0,state_changed,0,,,off,on,2026-03-30T17:08:43.271455+03:00,01KMZH6KPATDF7P969XNFKZ4BC,01KMZH6KPATDF7P969XNFKZ4BC,0,0.1.1,1774879723.241437,1774879723.271455,-30.018091201782227,-5.202174186706543
1774879727062949000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v2,0,state_changed,0,,,on,off,2026-03-30T17:08:47.094322+03:00,01KMZH6QDQ949VTNC9SVTESDRS,01KMZH6QDQ949VTNC9SVTESDRS,0,0.1.1,1774879727.0629492,1774879727.094322,-31.372785568237305,-6.556868553161621
1774879740329858000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v2,0,state_changed,0,,,off,on,2026-03-30T17:09:00.334713+03:00,01KMZH74BE3MD6J85QV3W6E9KN,01KMZH74BE3MD6J85QV3W6E9KN,0,0.1.1,1774879740.329858,1774879740.334713,-4.854917526245117,19.960999488830566
1774879744116860000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v2,0,state_changed,0,,,on,off,2026-03-30T17:09:04.144731+03:00,01KMZH782B4QCV4D98YZSAYC1J,01KMZH782B4QCV4D98YZSAYC1J,0,0.1.1,1774879744.11686,1774879744.144731,-27.871131896972656,-3.0552148818969727
1774879747344542000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v2,0,state_changed,0,,,off,on,2026-03-30T17:09:07.365207+03:00,01KMZH7B78V2Z6P0CNE1JZ355Q,01KMZH7B78V2Z6P0CNE1JZ355Q,0,0.1.1,1774879747.344542,1774879747.365207,-20.66493034362793,4.150986671447754
1774879751025321000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v2,0,state_changed,0,,,on,off,2026-03-30T17:09:11.047491+03:00,01KMZH7ETA49C5YMHWZ4YQTNXH,01KMZH7ETA49C5YMHWZ4YQTNXH,0,0.1.1,1774879751.025321,1774879751.047491,-22.170066833496094,2.64585018157959
1774879755383011000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v2,0,state_changed,0,,,off,on,2026-03-30T17:09:15.406494+03:00,01KMZH7K2JZ6DNSFZZ6SNNAV3Z,01KMZH7K2JZ6DNSFZZ6SNNAV3Z,0,0.1.1,1774879755.383011,1774879755.406494,-23.482799530029297,1.3331174850463867
1774879759953701000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v2,0,state_changed,0,,,on,off,2026-03-30T17:09:19.984483+03:00,01KMZH7QHJ3ZRXPVP9FPZJBEWJ,01KMZH7QHJ3ZRXPVP9FPZJBEWJ,0,0.1.1,1774879759.953701,1774879759.984483,-30.781984329223633,-5.966067314147949
1774879763613588000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v2,0,state_changed,0,,,off,on,2026-03-30T17:09:23.644052+03:00,01KMZH7V3Z9JX02BG9G4EAFRS7,01KMZH7V3Z9JX02BG9G4EAFRS7,0,0.1.1,1774879763.6135879,1774879763.644052,-30.46417236328125,-5.648255348205566
1774879767180492000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v2,0,state_changed,0,,,on,off,2026-03-30T17:09:27.206856+03:00,01KMZH7YK8GZJFHGG4PBME3JG2,01KMZH7YK8GZJFHGG4PBME3JG2,0,0.1.1,1774879767.180492,1774879767.206856,-26.36408805847168,-1.548171043395996
1774879775516032000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v2,0,state_changed,0,,,on,off,2026-03-30T17:09:35.547487+03:00,01KMZH86QW72SHMRXSV54ASYFD,01KMZH86QW72SHMRXSV54ASYFD,0,0.1.1,1774879775.516032,1774879775.547487,-31.455039978027344,-6.63912296295166
1774879779773305000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v2,0,state_changed,0,,,off,on,2026-03-30T17:09:39.802414+03:00,01KMZH8AWV5PCBZKX8XH363Z3W,01KMZH8AWV5PCBZKX8XH363Z3W,0,0.1.1,1774879779.7733052,1774879779.802414,-29.108762741088867,-4.292845726013184
1774879783635393000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v2,0,state_changed,0,,,on,off,2026-03-30T17:09:43.661304+03:00,01KMZH8ENFEKVMSZNQTX01QAY9,01KMZH8ENFEKVMSZNQTX01QAY9,0,0.1.1,1774879783.6353931,1774879783.661304,-25.91085433959961,-1.0949373245239258
1774879787875177000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v2,0,state_changed,0,,,off,on,2026-03-30T17:09:47.906031+03:00,01KMZH8JT3FC7GBF462HHHF5Y5,01KMZH8JT3FC7GBF462HHHF5Y5,0,0.1.1,1774879787.875177,1774879787.906031,-30.853986740112305,-6.038069725036621
1774879791969437000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v2,0,state_changed,0,,,on,off,2026-03-30T17:09:52.000105+03:00,01KMZH8PSR56HZVWRD6NP5YW7E,01KMZH8PSR56HZVWRD6NP5YW7E,0,0.1.1,1774879791.969437,1774879792.000105,-30.668020248413086,-5.852103233337402
1774879795895695000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v2,0,state_changed,0,,,off,on,2026-03-30T17:09:55.915912+03:00,01KMZH8TMERJBAZQDPS882571M,01KMZH8TMERJBAZQDPS882571M,0,0.1.1,1774879795.8956952,1774879795.915912,-20.216703414916992,4.599213600158691
1774879799660478000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v2,0,state_changed,0,,,on,off,2026-03-30T17:09:59.665958+03:00,01KMZH8Y9NBBN1BZCPP1P810FG,01KMZH8Y9NBBN1BZCPP1P810FG,0,0.1.1,1774879799.6604779,1774879799.665958,-5.480051040649414,19.33586597442627
1774879803891032000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v2,0,state_changed,0,,,off,on,2026-03-30T17:10:03.915084+03:00,01KMZH92EJZD4MBTKVV84C57HW,01KMZH92EJZD4MBTKVV84C57HW,0,0.1.1,1774879803.891032,1774879803.915084,-24.051904678344727,0.764012336730957
1774879808305759000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v2,0,state_changed,0,,,on,off,2026-03-30T17:10:08.331479+03:00,01KMZH96RHD68J9KZ9JJDH3J5H,01KMZH96RHD68J9KZ9JJDH3J5H,0,0.1.1,1774879808.305759,1774879808.331479,-25.72011947631836,-0.9042024612426758
1774879811942069000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v2,0,state_changed,0,,,off,on,2026-03-30T17:10:11.970111+03:00,01KMZH9AA3031YVW6G1J2WTACY,01KMZH9AA3031YVW6G1J2WTACY,0,0.1.1,1774879811.942069,1774879811.970111,-28.041839599609375,-3.2259225845336914
1774879815969549000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v2,0,state_changed,0,,,on,off,2026-03-30T17:10:15.988226+03:00,01KMZH9E7N11HPPAKEFK1NS0S1,01KMZH9E7N11HPPAKEFK1NS0S1,0,0.1.1,1774879815.969549,1774879815.988226,-18.6769962310791,6.138920783996582
1774879819277077000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v2,0,state_changed,0,,,off,on,2026-03-30T17:10:19.302981+03:00,01KMZH9HF796HFGH5CJ57C23Q0,01KMZH9HF796HFGH5CJ57C23Q0,0,0.1.1,1774879819.277077,1774879819.302981,-25.903940200805664,-1.0880231857299805
1774879823106104000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v2,0,state_changed,0,,,on,off,2026-03-30T17:10:23.133166+03:00,01KMZH9N73RDY4SPCFV6J26BGZ,01KMZH9N73RDY4SPCFV6J26BGZ,0,0.1.1,1774879823.1061041,1774879823.133166,-27.061939239501953,-2.2460222244262695
1774879827058301000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v2,0,state_changed,0,,,off,on,2026-03-30T17:10:27.088794+03:00,01KMZH9S2R88Z159H8H4XPT3P0,01KMZH9S2R88Z159H8H4XPT3P0,0,0.1.1,1774879827.058301,1774879827.088794,-30.49302101135254,-5.6771039962768555
1774879831091131000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v2,0,state_changed,0,,,on,off,2026-03-30T17:10:31.120209+03:00,01KMZH9X0PYT3DFW77RRTPZHR5,01KMZH9X0PYT3DFW77RRTPZHR5,0,0.1.1,1774879831.091131,1774879831.120209,-29.078006744384766,-4.262089729309082
1774879834235837000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v2,0,state_changed,0,,,off,on,2026-03-30T17:10:34.262726+03:00,01KMZHA02Y0551RP4J8AX1JZHA,01KMZHA02Y0551RP4J8AX1JZHA,0,0.1.1,1774879834.235837,1774879834.262726,-26.88908576965332,-2.0731687545776367
1774879838067548000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v2,0,state_changed,0,,,on,off,2026-03-30T17:10:38.097268+03:00,01KMZHA3TJ0TTFXAEZ1WQZP606,01KMZHA3TJ0TTFXAEZ1WQZP606,0,0.1.1,1774879838.0675478,1774879838.097268,-29.720306396484375,-4.904389381408691
1774879841615538000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v2,0,state_changed,0,,,off,on,2026-03-30T17:10:41.641556+03:00,01KMZHA79HFMAZJ0ATY42MY0BW,01KMZHA79HFMAZJ0ATY42MY0BW,0,0.1.1,1774879841.615538,1774879841.641556,-26.018142700195312,-1.202225685119629
1774879845552945000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v2,0,state_changed,0,,,on,off,2026-03-30T17:10:45.582788+03:00,01KMZHAB4NVYK6WY05D11WJ2WC,01KMZHAB4NVYK6WY05D11WJ2WC,0,0.1.1,1774879845.552945,1774879845.582788,-29.84309196472168,-5.027174949645996
1774879848696882000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v2,0,state_changed,0,,,off,on,2026-03-30T17:10:48.709449+03:00,01KMZHAE66EWNX2PD9KT86NGY4,01KMZHAE66EWNX2PD9KT86NGY4,0,0.1.1,1774879848.696882,1774879848.709449,-12.56704330444336,12.248873710632324
1774879853237191000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v2,0,state_changed,0,,,on,off,2026-03-30T17:10:53.256698+03:00,01KMZHAJM8MVKNCJW8TX7D52R6,01KMZHAJM8MVKNCJW8TX7D52R6,0,0.1.1,1774879853.237191,1774879853.256698,-19.50693130493164,5.308985710144043
1774879856302039000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v2,0,state_changed,0,,,off,on,2026-03-30T17:10:56.319441+03:00,01KMZHANKDBAM7XGJ3HWCZ21GZ,01KMZHANKDBAM7XGJ3HWCZ21GZ,0,0.1.1,1774879856.3020391,1774879856.319441,-17.401933670043945,7.413983345031738
1774879860450217000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v2,0,state_changed,0,,,on,off,2026-03-30T17:11:00.481243+03:00,01KMZHASP24ZSSE5NT5VKGFP1Z,01KMZHASP24ZSSE5NT5VKGFP1Z,0,0.1.1,1774879860.450217,1774879860.481243,-31.02588653564453,-6.209969520568848
1774879863909921000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v2,0,state_changed,0,,,off,on,2026-03-30T17:11:03.928323+03:00,01KMZHAX1Q3QWNV433ABXMNBE3,01KMZHAX1Q3QWNV433ABXMNBE3,0,0.1.1,1774879863.909921,1774879863.928323,-18.402099609375,6.413817405700684
1774879867725056000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v2,0,state_changed,0,,,on,off,2026-03-30T17:11:07.697029+03:00,01KMZHB0QHAWRB4MWZCA7R761F,01KMZHB0QHAWRB4MWZCA7R761F,0,0.1.1,1774879867.725056,1774879867.697029,28.026819229125977,52.84273624420166
1774879871623496000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v2,0,state_changed,0,,,off,on,2026-03-30T17:11:11.650679+03:00,01KMZHB4K42SKKD5BVPQHFDQP8,01KMZHB4K42SKKD5BVPQHFDQP8,0,0.1.1,1774879871.6234958,1774879871.650679,-27.18329429626465,-2.367377281188965
1774879875358648000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v2,0,state_changed,0,,,on,off,2026-03-30T17:11:15.383942+03:00,01KMZHB87YZ1D7MRTVGYXH6QBM,01KMZHB87YZ1D7MRTVGYXH6QBM,0,0.1.1,1774879875.358648,1774879875.383942,-25.293827056884766,-0.47791004180908203
1774879878812569000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v2,0,state_changed,0,,,off,on,2026-03-30T17:11:18.844207+03:00,01KMZHBBM35NMAFQP6YWS84ED2,01KMZHBBM35NMAFQP6YWS84ED2,0,0.1.1,1774879878.8125691,1774879878.844207,-31.637907028198242,-6.821990013122559
1774879882639351000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v2,0,state_changed,0,,,on,off,2026-03-30T17:11:22.670105+03:00,01KMZHBFBCQND8TKZ55AB94JXD,01KMZHBFBCQND8TKZ55AB94JXD,0,0.1.1,1774879882.6393511,1774879882.670105,-30.75385093688965,-5.937933921813965
