pi_rx_time_ns,topic,type,node,protocol,exp,seq,trigger,t_local_us,wifi_rssi,rtt_us,old_state,new_state,ha_time,event_id,ha_context_id,mqtt_retain,pipeline_version,pi_time_s,ha_time_s,raw_delay_ms,norm_delay_ms
1774879886682355000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v2,0,state_changed,0,,,off,on,2026-03-30T17:11:26.709687+03:00,01KMZHBK9NEK3F8XD3YXYGCFZD,01KMZHBK9NEK3F8XD3YXYGCFZD,0,0.1.1,1774879886.682355,1774879886.709687,-27.332067489624023,-2.51615047454834
1774879894170124000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v2,0,state_changed,0,,,off,on,2026-03-30T17:11:34.201059+03:00,01KMZHBTKSAPTZ000ME9Y1VE1B,01KMZHBTKSAPTZ000ME9Y1VE1B,0,0.1.1,1774879894.170124,1774879894.201059,-30.935049057006836,-6.119132041931152
1774879898349120000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v2,0,state_changed,0,,,on,off,2026-03-30T17:11:38.367153+03:00,01KMZHBYNYQYP8SXARX7J3D6ED,01KMZHBYNYQYP8SXARX7J3D6ED,0,0.1.1,1774879898.34912,1774879898.367153,-18.03302764892578,6.782889366149902
1774879902648644000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v2,0,state_changed,0,,,off,on,2026-03-30T17:11:42.665122+03:00,01KMZHC2WBTDEF8KH5DNPXG82J,01KMZHC2WBTDEF8KH5DNPXG82J,0,0.1.1,1774879902.6486442,1774879902.665122,-16.47782325744629,8.338093757629395
1774879905917250000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v2,0,state_changed,0,,,on,off,2026-03-30T17:11:45.920169+03:00,01KMZHC624BQY7D9H2A6R8T33X,01KMZHC624BQY7D9H2A6R8T33X,0,0.1.1,1774879905.9172502,1774879905.920169,-2.9189586639404297,21.896958351135254
1774879908704479000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v2,0,state_changed,0,,,off,on,2026-03-30T17:11:48.711689+03:00,01KMZHC8SBZQC828PXQQZ6CZGD,01KMZHC8SBZQC828PXQQZ6CZGD,0,0.1.1,1774879908.704479,1774879908.711689,-7.210016250610352,17.605900764465332
1774879921201096000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v2,0,state_changed,0,,,on,off,2026-03-30T17:12:01.176102+03:00,01KMZHCMYMBVNNE8N8WN4YT497,01KMZHCMYMBVNNE8N8WN4YT497,0,0.1.1,1774879921.2010958,1774879921.176102,24.993896484375,49.809813499450684
1774879925023968000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v2,0,state_changed,0,,,off,on,2026-03-30T17:12:05.042922+03:00,01KMZHCRQFPT4TG7RAHPFHSKD1,01KMZHCRQFPT4TG7RAHPFHSKD1,0,0.1.1,1774879925.023968,1774879925.042922,-18.954038619995117,5.861878395080566
1774879928964330000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v2,0,state_changed,0,,,on,off,2026-03-30T17:12:08.994815+03:00,01KMZHCWK5CAJG9MN7VA9DSEW9,01KMZHCWK5CAJG9MN7VA9DSEW9,0,0.1.1,1774879928.96433,1774879928.994815,-30.485153198242188,-5.669236183166504
1774879932330863000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v2,0,state_changed,0,,,off,on,2026-03-30T17:12:12.351030+03:00,01KMZHCZW2B60KC7FT7Z39Q1TM,01KMZHCZW2B60KC7FT7Z39Q1TM,0,0.1.1,1774879932.330863,1774879932.35103,-20.167112350463867,4.648804664611816
1774879935882078000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v2,0,state_changed,0,,,on,off,2026-03-30T17:12:15.842883+03:00,01KMZHD397MQ4BGEDDY7988GVZ,01KMZHD397MQ4BGEDDY7988GVZ,0,0.1.1,1774879935.882078,1774879935.842883,39.19482231140137,64.01073932647705
1774879939221224000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v2,0,state_changed,0,,,off,on,2026-03-30T17:12:19.247105+03:00,01KMZHD6KMZD3GXTP2S3WKNT8B,01KMZHD6KMZD3GXTP2S3WKNT8B,0,0.1.1,1774879939.2212238,1774879939.247105,-25.881052017211914,-1.0651350021362305
1774879942277994000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v2,0,state_changed,0,,,on,off,2026-03-30T17:12:22.287984+03:00,01KMZHD9HZK5E2XGSJA2XRBVPM,01KMZHD9HZK5E2XGSJA2XRBVPM,0,0.1.1,1774879942.277994,1774879942.287984,-9.98997688293457,14.825940132141113
1774879944888836000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v2,0,state_changed,0,,,off,on,2026-03-30T17:12:24.897610+03:00,01KMZHDC44T34S44REW2CBT78A,01KMZHDC44T34S44REW2CBT78A,0,0.1.1,1774879944.8888361,1774879944.89761,-8.7738037109375,16.042113304138184
1774879947489996000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v2,0,state_changed,0,,,on,off,2026-03-30T17:12:27.513169+03:00,01KMZHDENT9KNEFRTGR4BRWDE2,01KMZHDENT9KNEFRTGR4BRWDE2,0,0.1.1,1774879947.489996,1774879947.513169,-23.173093795776367,1.6428232192993164
1774879949692073000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v2,0,state_changed,0,,,off,on,2026-03-30T17:12:29.721061+03:00,01KMZHDGV1G8EF8DXPADD9R0CR,01KMZHDGV1G8EF8DXPADD9R0CR,0,0.1.1,1774879949.6920729,1774879949.721061,-28.988122940063477,-4.172205924987793
1774879952325861000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v2,0,state_changed,0,,,on,off,2026-03-30T17:12:32.353492+03:00,01KMZHDKD70JPTN9Y4EB0E626A,01KMZHDKD70JPTN9Y4EB0E626A,0,0.1.1,1774879952.3258612,1774879952.353492,-27.63080596923828,-2.8148889541625977
1774879956603968000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v2,0,state_changed,0,,,off,on,2026-03-30T17:12:36.628306+03:00,01KMZHDQJW0M8DJYK020BVSC5K,01KMZHDQJW0M8DJYK020BVSC5K,0,0.1.1,1774879956.603968,1774879956.628306,-24.3380069732666,0.47791004180908203
1774879961612427000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v2,0,state_changed,0,,,on,off,2026-03-30T17:12:41.641854+03:00,01KMZHDWFBZP9C7DYY8YF2548N,01KMZHDWFBZP9C7DYY8YF2548N,0,0.1.1,1774879961.612427,1774879961.641854,-29.427051544189453,-4.6111345291137695
1774879965327564000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v2,0,state_changed,0,,,off,on,2026-03-30T17:12:45.340347+03:00,01KMZHE02ZMK4T3G4FEV8EKVMP,01KMZHE02ZMK4T3G4FEV8EKVMP,0,0.1.1,1774879965.327564,1774879965.340347,-12.783050537109375,12.032866477966309
1774879968930039000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v2,0,state_changed,0,,,on,off,2026-03-30T17:12:48.957717+03:00,01KMZHE3KXRTKBHG88C57R0XKS,01KMZHE3KXRTKBHG88C57R0XKS,0,0.1.1,1774879968.930039,1774879968.957717,-27.67801284790039,-2.862095832824707
1774879973977476000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v2,0,state_changed,0,,,off,on,2026-03-30T17:12:54.000109+03:00,01KMZHE8HMYQ1EKY7PB5E7PJQS,01KMZHE8HMYQ1EKY7PB5E7PJQS,0,0.1.1,1774879973.9774761,1774879974.000109,-22.632837295532227,2.183079719543457
1774879979296042000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v2,0,state_changed,0,,,on,off,2026-03-30T17:12:59.325175+03:00,01KMZHEDR22MBC5X1GH92WXK6Y,01KMZHEDR22MBC5X1GH92WXK6Y,0,0.1.1,1774879979.296042,1774879979.325175,-29.133081436157227,-4.317164421081543
1774879982701284000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v2,0,state_changed,0,,,off,on,2026-03-30T17:13:02.730155+03:00,01KMZHEH2GSW08SZQMBQD6AMQZ,01KMZHEH2GSW08SZQMBQD6AMQZ,0,0.1.1,1774879982.7012842,1774879982.730155,-28.870820999145508,-4.054903984069824
1774879986388325000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v2,0,state_changed,0,,,on,off,2026-03-30T17:13:06.417241+03:00,01KMZHEMNSZJSJRA2XJW9XK7H2,01KMZHEMNSZJSJRA2XJW9XK7H2,0,0.1.1,1774879986.3883252,1774879986.417241,-28.915882110595703,-4.0999650955200195
1774879990240265000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v2,0,state_changed,0,,,off,on,2026-03-30T17:13:10.262549+03:00,01KMZHERDXERGV3T8M8VF69W4E,01KMZHERDXERGV3T8M8VF69W4E,0,0.1.1,1774879990.240265,1774879990.262549,-22.28403091430664,2.531886100769043
1774879994041482000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v2,0,state_changed,0,,,on,off,2026-03-30T17:13:14.070431+03:00,01KMZHEW4WYC6VKSFYT9WXX489,01KMZHEW4WYC6VKSFYT9WXX489,0,0.1.1,1774879994.041482,1774879994.070431,-28.94902229309082,-4.133105278015137
1774879996953495000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v2,0,state_changed,0,,,off,on,2026-03-30T17:13:16.983973+03:00,01KMZHEYZRA0FXVBXJ8J84QTTB,01KMZHEYZRA0FXVBXJ8J84QTTB,0,0.1.1,1774879996.953495,1774879996.983973,-30.47800064086914,-5.662083625793457
1774880000762059000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v2,0,state_changed,0,,,on,off,2026-03-30T17:13:20.790528+03:00,01KMZHF2PRDENQGNTST9N58RT0,01KMZHF2PRDENQGNTST9N58RT0,0,0.1.1,1774880000.762059,1774880000.790528,-28.469085693359375,-3.6531686782836914
1774880003763057000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v2,0,state_changed,0,,,off,on,2026-03-30T17:13:23.767509+03:00,01KMZHF5KRQG9D8EMBJHK84SVZ,01KMZHF5KRQG9D8EMBJHK84SVZ,0,0.1.1,1774880003.763057,1774880003.767509,-4.451990127563477,20.363926887512207
1774880006374536000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v2,0,state_changed,0,,,on,off,2026-03-30T17:13:26.389728+03:00,01KMZHF85QDCHM2WQCBZ9H8SZQ,01KMZHF85QDCHM2WQCBZ9H8SZQ,0,0.1.1,1774880006.374536,1774880006.389728,-15.192031860351562,9.623885154724121
1774880008844802000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v2,0,state_changed,0,,,off,on,2026-03-30T17:13:28.876185+03:00,01KMZHFAKC5J1FM5WJ607NXGSD,01KMZHFAKC5J1FM5WJ607NXGSD,0,0.1.1,1774880008.8448021,1774880008.876185,-31.38279914855957,-6.566882133483887
1774880011162139000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v2,0,state_changed,0,,,on,off,2026-03-30T17:13:31.182154+03:00,01KMZHFCVJXCHWHCVYFJSAZKMV,01KMZHFCVJXCHWHCVYFJSAZKMV,0,0.1.1,1774880011.162139,1774880011.182154,-20.01500129699707,4.800915718078613
1774880064194023000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v2,0,state_changed,0,,,off,on,2026-03-30T17:14:24.220954+03:00,01KMZHH0MX6C00Q0STMY4AZ2WP,01KMZHH0MX6C00Q0STMY4AZ2WP,0,0.1.1,1774880064.194023,1774880064.220954,-26.931047439575195,-2.1151304244995117
1774880067859217000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v2,0,state_changed,0,,,on,off,2026-03-30T17:14:27.890140+03:00,01KMZHH47MHD0P5K3Z563EJ6B4,01KMZHH47MHD0P5K3Z563EJ6B4,0,0.1.1,1774880067.859217,1774880067.89014,-30.923128128051758,-6.107211112976074
1774880070825006000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v2,0,state_changed,0,,,off,on,2026-03-30T17:14:30.842809+03:00,01KMZHH73TCRBP0J5A0N8R5KAJ,01KMZHH73TCRBP0J5A0N8R5KAJ,0,0.1.1,1774880070.825006,1774880070.842809,-17.802953720092773,7.01296329498291
1774880073425072000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v2,0,state_changed,0,,,on,off,2026-03-30T17:14:33.445227+03:00,01KMZHH9N25K6HTKTDDW18NWC7,01KMZHH9N25K6HTKTDDW18NWC7,0,0.1.1,1774880073.4250722,1774880073.445227,-20.154714584350586,4.661202430725098
1774880076259509000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v2,0,state_changed,0,,,off,on,2026-03-30T17:14:36.286780+03:00,01KMZHHCE20T1PVKQFQ1SMJTGK,01KMZHHCE20T1PVKQFQ1SMJTGK,0,0.1.1,1774880076.259509,1774880076.28678,-27.271032333374023,-2.45511531829834
1774880078722445000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v2,0,state_changed,0,,,on,off,2026-03-30T17:14:38.731005+03:00,01KMZHHETE8GE6BK3FTZVDF4F8,01KMZHHETE8GE6BK3FTZVDF4F8,0,0.1.1,1774880078.722445,1774880078.731005,-8.559942245483398,16.255974769592285
1774880081116680000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v2,0,state_changed,0,,,off,on,2026-03-30T17:14:41.137904+03:00,01KMZHHH5NMJD2ECPPQZAXMFHX,01KMZHHH5NMJD2ECPPQZAXMFHX,0,0.1.1,1774880081.11668,1774880081.137904,-21.224021911621094,3.59189510345459
1774880093249725000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v2,0,state_changed,0,,,on,off,2026-03-30T17:14:53.275695+03:00,01KMZHHX0M883JNKQ89TZHRSC9,01KMZHHX0M883JNKQ89TZHRSC9,0,0.1.1,1774880093.2497249,1774880093.275695,-25.9702205657959,-1.1543035507202148
1774880100308475000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v2,0,state_changed,0,,,on,off,2026-03-30T17:15:00.329238+03:00,01KMZHJ3X9SCDYFN5JW7S5KR8Z,01KMZHJ3X9SCDYFN5JW7S5KR8Z,0,0.1.1,1774880100.3084748,1774880100.329238,-20.763158798217773,4.05275821685791
1774880102687631000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v2,0,state_changed,0,,,off,on,2026-03-30T17:15:02.706796+03:00,01KMZHJ67FC4Y991JTRQPDZAV9,01KMZHJ67FC4Y991JTRQPDZAV9,0,0.1.1,1774880102.6876311,1774880102.706796,-19.1648006439209,5.651116371154785
1774880105246730000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v2,0,state_changed,0,,,on,off,2026-03-30T17:15:05.263037+03:00,01KMZHJ8QFP9CD1TDMJQACRV66,01KMZHJ8QFP9CD1TDMJQACRV66,0,0.1.1,1774880105.24673,1774880105.263037,-16.30687713623047,8.509039878845215
1774880107857059000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v2,0,state_changed,0,,,off,on,2026-03-30T17:15:07.802898+03:00,01KMZHJB5X8C7E6933EJE3SSYP,01KMZHJB5X8C7E6933EJE3SSYP,0,0.1.1,1774880107.857059,1774880107.802898,54.16107177734375,78.97698879241943
1774880109956224000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v2,0,state_changed,0,,,on,off,2026-03-30T17:15:09.936274+03:00,01KMZHJD9QJ1HJ8JJ5VSRZ9TWY,01KMZHJD9QJ1HJ8JJ5VSRZ9TWY,0,0.1.1,1774880109.956224,1774880109.936274,19.949913024902344,44.76583003997803
1774880112340921000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v2,0,state_changed,0,,,off,on,2026-03-30T17:15:12.368969+03:00,01KMZHJFNQHVF0Q1MD3A88HE3X,01KMZHJFNQHVF0Q1MD3A88HE3X,0,0.1.1,1774880112.3409212,1774880112.368969,-28.047800064086914,-3.2318830490112305
1774880116044973000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v2,0,state_changed,0,,,on,off,2026-03-30T17:15:16.075795+03:00,01KMZHJK9MT0RPP46BXYS0NJAF,01KMZHJK9MT0RPP46BXYS0NJAF,0,0.1.1,1774880116.0449731,1774880116.075795,-30.821800231933594,-6.00588321685791
1774880119177585000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v2,0,state_changed,0,,,off,on,2026-03-30T17:15:19.191881+03:00,01KMZHJP9SWY0ECSDXY6C8MT9K,01KMZHJP9SWY0ECSDXY6C8MT9K,0,0.1.1,1774880119.177585,1774880119.191881,-14.29605484008789,10.519862174987793
